,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,123.0,4623.0,13.61881937296602,8.41881979491212,11.369944051697273,185.53686741158555,94.36578171091446,96.74338887852878,56.68690273648773,30.06707810513264,9390.272030070217,54.45669934640523
std,3.0276503540974917,0.0,3027.6503540974913,0.26796827778889787,0.13722118277955064,0.2118540184720132,7.290801597614161,0.21094647494414548,5.867872827522061,4.744889004358615,2.148141952232306,1150.4849307907634,4.112310899697999
min,1.0,123.0,123.0,13.120598768677556,8.23855662441929,11.177534291826044,172.15011204862301,93.92677424952282,88.45112279585032,49.26116022110505,26.398792467420922,7823.601123846593,45.91503267973856
max,10.0,123.0,9123.0,14.035118014226022,8.636501896436734,11.701741816225116,196.9845376732518,94.53409682457054,108.38292663649028,66.22051062641061,34.34040468637651,11746.858786290833,61.356209150326805
