Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,14.482954219871761,8.575916249085703,11.159200737905298,209.75596293490125,94.30851986812424,106.26066910296238,63.25217806409907,33.30269105464224,11291.329798209263,48.529411764705884
2,1000,2000,14.313249139295765,8.586876931820989,11.382837747950356,204.86910092355097,94.34322401526983,97.84361185153362,56.12852885286792,29.822961948581433,9573.37238015357,55.47385620915033
3,1000,3000,13.565404524154918,8.336622189170278,11.230749197619778,184.0201999039627,94.56880097171612,103.05077662344813,62.31302161634878,32.46451453267166,10619.462562695802,49.18300653594771
4,1000,4000,13.399181527231455,8.228841141019076,11.012499292399838,179.5380655997007,94.77702585458962,98.49603398311548,57.49105738840333,30.059142234869796,9701.46871040304,54.616013071895416
5,1000,5000,13.444990924764534,8.304475290703554,11.130644031982698,180.7677809670007,94.7943779281624,103.35311421200359,62.43136682255856,32.61920517288141,10681.866217319457,49.591503267973856
6,1000,6000,14.139067864351304,8.55595902928447,11.366759468948146,199.91324007273172,94.51674475099774,98.52593891607053,58.04191833176125,30.60799177515343,9707.360639293262,54.12581699346405
7,1000,7000,13.869162610112207,8.43899663732362,11.363919741605457,192.35367150573447,94.34322401526983,101.70934237820433,61.0562562874979,32.02498450032849,10344.790327006789,51.18464052287581
8,1000,8000,13.485065033149665,8.40106975928435,11.19008090549892,181.84697894827576,94.55144889814333,99.70708155729764,59.092523099030814,31.066511611158905,9941.502112673603,52.41013071895425
9,1000,9000,13.612276394062542,8.398818346841225,11.233616734204722,185.29406862835233,94.58615304528891,89.96265195992956,50.40382212867924,27.308518861236745,8093.278747663418,60.37581699346405
10,1000,10000,13.376109757670726,8.338182614083603,11.050962967020512,178.920312249254,93.82266180808607,112.9531550479541,71.18699592871344,36.64264102996505,12758.415235287157,42.11601307189542
