,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,314.7749,0.0,190.8281,0.0,100.0,0.0,30.5254,0.0,5.0
lstm,98.6345,9.7776,54.8107,5.7591,47.951,3.9568,50.3016,2.3684,5.0
tcn,157.8358,10.0556,89.8842,5.9103,76.5267,2.9732,48.1603,1.8924,5.0
seq2seq,114.9628,2.6098,63.4393,1.5167,43.2487,0.4321,47.8822,0.4619,5.0
seq2seq_attn,111.1676,6.9108,60.7883,3.9058,42.996,1.1412,48.173,2.4659,5.0
transformer,118.0623,7.5804,63.9894,4.4008,43.8956,1.1592,50.7618,2.1938,5.0
