,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
sarima,1594.8727,0.0,1459.8325,0.0,16.2755,0.0,41.6667,0.0,5.0
lstm,1753.9698,78.8284,1591.0839,67.4836,17.685,0.7426,44.9583,6.4917,5.0
tcn,84975758.2922,134049498.7519,31164683.389,48820262.522,372386.4353,583813.5933,50.9583,6.5889,5.0
seq2seq,2875.8488,27.3381,2742.7382,27.1999,30.5379,0.3076,12.5417,0.0833,5.0
seq2seq_attn,2905.7644,20.4365,2783.6402,20.6484,31.0426,0.2346,11.875,0.3486,5.0
transformer,2962.3325,26.6589,2842.1985,26.4579,31.7152,0.2991,10.1667,0.6095,5.0
