,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,42.0,4542.0,15.829928909324696,10.32471059950278,17.635181983089137,250.80655738967502,93.37766410912191,86.36646180886872,50.82642614941496,29.403491631899545,7775.06042597105,60.95179738562091
std,3.0276503540974917,0.0,3027.6503540974913,0.4943099740505734,0.24267062116279867,1.7846950310027252,15.795917466347818,0.6209368166223896,18.734836849162765,12.324894172662061,5.715285149331964,3509.2840568718952,9.790872193217961
min,1.0,42.0,42.0,15.2918437853905,10.013483296588962,15.566596540734077,233.84048635678602,92.71952259164536,65.12642080856446,37.92099721253827,23.651609219352096,4241.450687334219,41.380718954248366
max,10.0,42.0,9042.0,16.716677326343017,10.626507592857973,20.368921425217447,279.44730083307076,94.62915601023018,124.45315470308728,78.20494253780848,42.83173342125794,15488.587715550575,73.48856209150327
