,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,4752.4575,0.0,4388.6875,0.0,100.0,0.0,0.0,0.0,5.0
lstm,1016.3895,85.3565,792.3122,76.6757,16.4445,1.7291,63.3125,8.8001,5.0
tcn,4804.0347,3312.3632,3294.0519,1499.0693,71.5348,28.3514,40.8125,8.8913,5.0
seq2seq,1468.1878,133.454,1224.1821,118.288,25.4625,2.4687,25.5625,7.054,5.0
seq2seq_attn,1473.6149,100.4423,1227.432,88.5258,25.496,1.8788,25.9167,4.3826,5.0
transformer,1412.6237,61.4478,1180.5662,53.4891,24.6342,1.0777,24.4375,3.0166,5.0
