,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,23.0,24523.0,289.11657497964575,236.43735765540086,10.461708768924595,100037.68571534427,74.93043478260871,39634.652672520206,15739.674698615763,530.9524173703551,54600714693.89017,46.08333333333334
std,14.577379737113251,0.0,14577.379737113251,129.55690494828406,117.27481483753115,5.4179333614045,98894.90315486654,18.794051938223056,232619.9690513431,79439.48660817466,3028.9065927506645,383902007962.6932,27.530614529911208
min,1.0,23.0,23.0,143.38722096460208,111.86901696246603,4.7742438077183715,20559.895135951625,6.521739130434782,1110.3353618404092,823.4097468058268,15.29331706478709,1232844.6157532725,7.291666666666667
max,50.0,23.0,49023.0,664.7264072021351,638.7963317871094,30.065478566364995,441861.19643185864,93.91304347826087,1647691.7969446238,561979.4240118662,21459.212814894247,2714888257718.6035,90.625
