,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,42.0,4542.0,255.8415711167359,204.66142965565558,8.889050262145442,69305.53672097815,77.04347826086955,2518.3130031720184,2103.410135293007,46.76324335082117,6862182.320217587,39.27083333333333
std,3.0276503540974917,0.0,3027.6503540974913,65.41005027685235,63.036681518961544,2.9291287889678324,35976.80580644597,14.85602683395952,760.3229856612206,681.2856575357777,14.427286651534704,4242922.463618439,25.4115906437045
min,1.0,42.0,42.0,192.16394948284446,142.3390879755435,6.240292306996309,36926.9834808452,45.21739130434783,1671.8714953523283,1313.255610148112,30.684185038630734,2795154.2969716303,6.25
max,10.0,42.0,9042.0,366.9221977525735,331.8594275433084,15.451321519534325,134631.89920357862,91.30434782608695,4000.578716197238,3586.921367486318,81.05180417466741,16004630.064490343,81.25
