,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,456.0,4956.0,13.724440387194912,7.155177450104077,9.717901866820057,188.5100697840196,92.37240075614366,114.86362420768441,62.8543635118661,43.542394807122164,13701.815160291104,47.55434782608695
std,3.0276503540974917,0.0,3027.6503540974913,0.4079839898176707,0.16936114399347585,0.19277380096570992,11.337643439097628,0.9857396864078337,23.76185070810772,13.037707247089877,3.721008024768437,5408.747886346717,5.7555548130157765
min,1.0,456.0,456.0,13.282546345702983,6.963775874144207,9.367047961586627,176.42603742574767,91.0586011342155,81.91279340760921,45.03038737955726,36.90637998803371,6709.705723837667,39.85507246376812
max,10.0,456.0,9456.0,14.58623368560955,7.536938468154835,9.969789332127187,212.75821313121074,93.8374291115312,147.04043879245054,80.53322065770159,49.93222443052364,21620.890640276397,57.382246376811594
