,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,247.03,0.0,172.2219,0.0,100.0,0.0,0.7353,0.0,5.0
lstm,82.5982,3.9602,48.164,2.8403,29.174,1.1153,66.1405,3.1888,5.0
tcn,130.617,2.4036,83.1785,1.6994,47.5639,1.1446,42.152,1.0992,5.0
seq2seq,98.9695,2.1016,58.2558,1.7762,30.7182,0.8019,53.3415,1.421,5.0
seq2seq_attn,97.3367,2.4828,56.3358,2.104,29.9203,1.1508,55.299,1.7494,5.0
transformer,102.715,6.4742,62.0701,5.0758,32.784,2.5168,51.7786,3.65,5.0
