,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,45.0,24545.0,131.25393186473858,95.8717829071315,3.961616146326023,17245.534725901685,93.94690265486726,1418.2380794017683,1181.1825994110106,24.532718225001567,2098445.064018834,25.41666666666667
std,14.577379737113251,0.0,14577.379737113251,4.278576907730247,2.5938277873183315,0.13397040313685907,1150.4237751037247,0.5614058991447427,298.0306349025655,262.64264522494216,5.575573106220696,829882.9803997173,10.894645962930433
min,1.0,45.0,45.0,124.91100906806972,92.26462197092782,3.8065515982294786,15602.760186403397,92.92035398230088,792.5910599911559,623.1148071289062,12.801988480100684,628200.5883779041,14.583333333333334
max,50.0,45.0,49045.0,146.81536454151737,101.8543803797359,4.28235347851121,21554.75126545863,95.57522123893806,2069.547179722581,1744.7284329732258,36.50832713719035,4283025.529097688,60.416666666666664
