,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,314.7749,0.0,190.8281,0.0,100.0,0.0,30.5254,0.0,10.0
lstm,92.1862,4.1497,50.7302,2.2615,47.9918,1.8542,53.6863,1.4908,10.0
tcn,162.4581,4.8324,92.5489,2.9706,80.182,3.1274,47.2072,0.5781,10.0
seq2seq,115.8162,1.4593,63.9117,0.8135,43.5497,0.2495,47.4299,0.6599,10.0
seq2seq_attn,115.1661,3.0833,63.0082,1.7356,43.2528,0.4778,47.2847,0.5976,10.0
transformer,124.9147,2.7839,67.9427,1.5748,45.1712,0.4589,49.4104,0.5894,10.0
