,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,789.0,5289.0,285.192488897886,226.58014056450497,4.888575173728799,83610.78495095004,91.85840707964601,2823.601636222941,2685.8446584065755,29.930102888519333,8344906.133235209,16.25
std,3.0276503540974917,0.0,3027.6503540974913,50.288381993581986,48.25930091026582,1.1136800934345161,29834.644318054223,5.686409798240229,643.0655169268316,632.6905793417385,7.143471007124886,3708574.6204085927,6.0380736442456
min,1.0,789.0,789.0,236.64555856307354,180.81299260232302,3.8576084343285117,56001.12038762907,81.41592920353983,2006.5723555918091,1875.0823059082031,20.781529916032955,4026332.6182252616,12.5
max,10.0,789.0,9789.0,355.00603778432924,303.75513991634404,6.830780613221597,126029.28686332861,97.34513274336283,3857.1813459673767,3688.1888732910156,41.24988402655978,14877847.935678706,25.0
