,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,456.0,4956.0,14.552078818078973,8.871196025096165,11.824686383212976,212.05455665608216,93.95737425404944,100.80176448502849,59.33807430457316,31.705918103481007,10293.098793336123,52.63480392156863
std,3.0276503540974917,0.0,3027.6503540974913,0.5691696959406853,0.18092095606069816,0.17488320365564913,17.110173769438195,0.3946774777824937,12.11532867628513,10.109968529437058,5.0584712776974365,2561.1164263609844,8.825530692715287
min,1.0,456.0,456.0,14.086183211597742,8.631962178736572,11.524459191050951,198.42055747069807,93.21398124467179,85.81129820975508,47.46364006689691,25.732804981101708,7363.578900443515,39.09313725490196
max,10.0,456.0,9456.0,16.001174973335655,9.258364101486206,12.123340490831955,256.03760052730325,94.44160272804774,125.24331091577052,78.96131894992328,40.968650172030955,15685.886929144364,66.83006535947712
