Horizon,Horizon_Months,Best_RMSE_Model,Best_RMSE_Value,Best_MAPE_Model,Best_MAPE_Value
2020,12,LSTM,1630.23 ± 918.57,LSTM,17.22% ± 12.10%
2020-2021,24,LSTM,2003.78 ± 962.10,LSTM,20.86% ± 11.64%
2020-2022,36,LSTM,1986.12 ± 1006.90,LSTM,20.85% ± 11.74%
2020-2023,48,LSTM,1880.23 ± 1035.35,LSTM,19.28% ± 12.04%
