,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,581.6868,0.0,381.983,0.0,100.0,0.0,17.9348,0.0,5.0
lstm,162.899,9.3208,98.4805,5.7158,42.1562,5.0907,49.3388,3.6277,5.0
tcn,316.3093,17.976,202.4204,10.9399,85.8067,9.2741,39.1993,1.9257,5.0
seq2seq,284.6736,11.84,176.475,7.4283,44.0349,1.5335,40.5199,0.7899,5.0
seq2seq_attn,252.9272,11.285,157.08,7.4153,42.1189,1.6507,38.2554,0.4575,5.0
transformer,183.1404,20.5618,110.9574,13.4083,33.6246,3.019,41.9891,1.3435,5.0
