Row Labels,Month,Month_Code,Year_Code,Sum of Deaths
2022-04-01,Apr,4,2022,8786
2022-05-01,May,5,2022,9035
2022-06-01,Jun,6,2022,9059
2022-07-01,Jul,7,2022,9663
2022-08-01,Aug,8,2022,9320
2022-09-01,Sep,9,2022,8977
2022-10-01,Oct,10,2022,9239
2022-11-01,Nov,11,2022,9018
2022-12-01,Dec,12,2022,9724
2023-01-01,Jan,1,2023,9485
2023-02-01,Feb,2,2023,8625
2023-03-01,Mar,3,2023,9712
2023-04-01,Apr,4,2023,9409
2023-05-01,May,5,2023,9674
2023-06-01,Jun,6,2023,9057
2023-07-01,Jul,7,2023,9537
2023-08-01,Aug,8,2023,9339
2023-09-01,Sep,9,2023,8206
2023-10-01,Oct,10,2023,8190
2023-11-01,Nov,11,2023,7777
2023-12-01,Dec,12,2023,8015
