,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,78.0,24578.0,20.74130172735282,14.275216942051472,29.834902263392667,431.66559142392225,92.71747655583972,132.80059086447918,84.53197271796918,48.41489125869673,18192.739689165035,42.2843137254902
std,14.577379737113251,0.0,14577.379737113251,1.2222403646638098,0.7183410722820786,1.7000679543913328,52.16635124917035,0.7692260701221351,23.83495022556901,16.874283425606173,8.505257011841312,6083.304393255818,6.893095114779936
min,1.0,78.0,78.0,18.824570666851702,13.26308655031233,26.504316019939733,354.3644607912935,90.19607843137256,62.41506100825317,36.96269998344753,30.386044649803885,3895.6398406639646,32.189542483660134
max,50.0,78.0,49078.0,24.87011714527015,16.604709971557448,35.08045938193255,618.5227268194602,94.06649616368287,172.22536456029917,113.2230043004892,63.76220617746786,29661.576197927956,72.09967320261438
