,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,42.0,4542.0,14.97426421170932,8.984739969685947,12.083595794225786,224.52364443496282,94.13810741687979,96.35748430340124,55.07471370930765,29.05433681721713,9328.582545060415,56.57679738562091
std,3.0276503540974917,0.0,3027.6503540974913,0.5725728996616155,0.14615826315282984,0.23051100046643136,17.225764969384578,0.2607946421087827,6.9775643458319045,6.459492817244847,3.1624891042433863,1401.6981567001192,6.090757964214127
min,1.0,42.0,42.0,14.213494176222099,8.811257700713554,11.757437512430794,202.0234166974995,93.53793691389599,89.07822092795402,48.00624935390643,24.98703832634477,7934.929443689386,43.09640522875817
max,10.0,42.0,9042.0,15.876465151365538,9.193131940266051,12.449481187291193,252.0621457025244,94.39045183290708,111.94719675796938,70.08270735795202,36.398433871383276,12532.174861967509,65.40032679738562
