,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,23.0,24523.0,132.90176744829512,97.49016074006455,4.055114948867428,17745.780654663453,93.36521739130436,1469.4705945568855,1224.1508806610107,25.406471203833803,2308846.5455264105,26.3125
std,14.577379737113251,0.0,14577.379737113251,9.197429975033995,6.075593712017769,0.26860424080084155,2632.0691594965538,1.4824045479227377,390.5813527569816,341.6131196732036,7.187561518020833,1141026.3656262695,16.1673312551876
min,1.0,23.0,23.0,124.79819135675037,91.97570270040761,3.8036147427767917,15574.588565916081,86.52173913043478,627.6482711365416,485.7733739217122,10.247562331559468,393942.35226068954,13.541666666666666
max,50.0,23.0,49023.0,166.55351684128667,118.64225596552309,4.738517933550998,27740.073972200764,94.78260869565217,2331.4605175165702,1972.656773885091,41.443698950271916,5435708.144738633,79.16666666666666
