,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
42,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
123,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
456,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
789,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1000,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
