Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1361.8734492690305,6718.161664277255,4314.23,4105.8477,4522.6123,-1455.27,10083.73,Train,2020-2023,48
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1403.1891955284154,6759.4774105366405,4234.7476,4083.701,4385.794,-1534.7524,10004.248,Train,2020-2023,48
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1415.0368217531914,6771.325036761416,4278.872,4081.585,4476.159,-1490.6279,10048.372,Train,2020-2023,48
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1453.367875299798,6809.656090308023,4308.3623,4152.4146,4464.31,-1461.1377,10077.862,Train,2020-2023,48
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1278.6461206855506,6634.934335693775,4118.514,3927.643,4309.3853,-1650.9858,9888.014,Train,2020-2023,48
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,3934.61330994637,9290.901524954596,4199.1797,4011.4814,4386.878,-1570.3203,9968.68,Train,2020-2023,48
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,1202.6520089336868,6558.940223941912,4414.425,4244.1924,4584.657,-1355.0752,10183.925,Train,2020-2023,48
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,2461.2257247215925,7817.513939729817,4649.741,4457.5684,4841.914,-1119.7588,10419.241,Train,2020-2023,48
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,2393.388941031257,7749.677156039483,5071.4287,4874.6123,5268.245,-698.0713,10840.929,Train,2020-2023,48
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,2612.173418918363,7968.461633926589,4975.4136,4810.248,5140.579,-794.0864,10744.914,Train,2020-2023,48
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,2151.7035261293354,7507.991741137561,5044.6426,4884.119,5205.166,-724.8574,10814.143,Train,2020-2023,48
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,2562.613596180506,7918.901811188731,4997.925,4809.5376,5186.312,-771.5752,10767.425,Train,2020-2023,48
