,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
42,324.2985,18.2579,2953.846,107.1162,257.3386,14.8371,2835.1085,108.9794,4.6058,0.241,31.6401,1.2424,94.5283,1.3922,10.2083,1.1826,10.0
123,308.7276,22.3347,2944.6204,139.1787,246.0703,18.2558,2825.3588,141.8718,4.3779,0.3156,31.5279,1.6185,95.0943,1.3193,9.5833,2.6352,10.0
456,325.3854,23.0235,2875.9786,275.9941,258.1434,20.7798,2755.1655,280.9638,4.6296,0.387,30.7289,3.1961,94.1509,2.7342,11.6667,5.0269,10.0
789,317.6446,14.8803,2959.2736,96.7584,250.6725,11.6492,2840.3827,97.3856,4.4881,0.2106,31.6991,1.1063,94.717,0.7955,10.0,2.1517,10.0
1000,318.8075,23.5049,2992.0502,120.9952,254.3305,19.6594,2872.6836,124.3198,4.5237,0.3333,32.0637,1.423,94.5283,0.5967,9.375,3.294,10.0
