,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
sarima,1662.8342,0.0,1519.1612,0.0,16.825,0.0,27.0833,0.0,5.0
lstm,1687.1228,169.4225,1532.976,181.2221,17.0672,1.9858,51.5417,11.8032,5.0
tcn,124780.9498,202205.3331,66472.7434,100127.6966,765.799,1159.8661,42.2083,12.4886,5.0
seq2seq,2505.9832,219.0667,2356.1728,225.4659,26.2258,2.5089,25.6667,6.3621,5.0
seq2seq_attn,2660.0371,145.2047,2514.9115,137.5723,28.0066,1.5634,21.4167,2.7901,5.0
transformer,2843.05,98.9507,2706.7431,95.3173,30.168,1.0723,15.625,0.9033,5.0
