,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,45.0,24545.0,15.030250081141617,9.217550338904774,16.730538151388952,226.2987995200895,92.05330812854443,88.10284455650628,48.67762723407314,45.36701690678749,8213.073537911241,52.70833333333334
std,14.577379737113251,0.0,14577.379737113251,0.6311489510407856,0.40079571146854387,1.5190428274727443,19.013897591470883,1.5895170082236978,21.45147154847985,12.245536825217489,7.342904990226186,4206.726850220952,9.277611916349391
min,1.0,45.0,45.0,13.768920487612235,8.42092845951617,14.384596749074282,189.58317139418796,86.89981096408317,63.10037961632681,35.10420428690829,34.11305430384423,3981.657907724552,31.521739130434785
max,50.0,45.0,49045.0,16.426702707897817,10.249240682514097,20.45420741560331,269.83656185365754,94.08317580340264,149.62638975278085,84.41955317761422,62.40972697110105,22388.056510451086,69.83695652173914
