,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,90.0,24590.0,15.999934328626027,9.982883086983177,18.59806035106057,271.8109559951306,90.36257088846884,101.36247367238775,55.51671656591938,50.67577520846259,11239.939866829882,51.57518115942028
std,14.577379737113251,0.0,14577.379737113251,4.016935764168261,3.4277022280155887,9.592941655073433,227.19332085935895,7.224455207294018,31.389404130660665,18.64584317517328,19.25922247196733,7785.210544456909,9.72421439762316
min,1.0,90.0,90.0,13.322097837576012,8.301429759781124,14.114317603431537,177.47829079394742,46.502835538752365,62.04384516101907,34.69914269661298,32.608635577936894,3849.43872236451,26.403985507246375
max,50.0,90.0,49090.0,42.72800481478616,33.082483327559586,82.3621125257978,1825.682395452389,94.234404536862,214.43450734876083,132.80567410466182,153.28173649350666,45982.15794190577,74.23007246376811
