,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,67.0,24567.0,20.82917825378207,14.369540375029224,30.849540605109166,435.18532023654274,92.60562659846549,130.81384759845753,83.14630839840916,47.79610413534848,17702.79528010598,42.48856209150327
std,14.577379737113251,0.0,14577.379737113251,1.1652509183734918,0.7075642656638648,2.6849802266532334,48.70953766461473,0.8488844527227122,24.54759135683063,17.458991947500152,9.49285250573168,6481.579057003197,7.199944614827378
min,1.0,67.0,67.0,18.199615416042985,12.995323391283813,25.718320199223974,331.2260012918695,90.12787723785166,73.65713204253564,43.245904994794024,31.03488711564431,5425.373100731529,28.594771241830063
max,50.0,67.0,49067.0,23.381307452500845,15.988843994422085,38.11424710868035,546.6855381883715,94.18584825234441,187.87490139820392,123.93207718958683,69.91333209241297,35296.97857538484,65.15522875816994
