Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,89,89,16.360584695622354,8.723121087532583,12.375325961649136,267.66873158263235,93.67064255482877,136.75243604417415,75.21814794436439,49.00290219748475,18701.228764015937,47.05615942028986
2,89,1089,15.265300445896628,8.157613018896436,11.38153327063494,233.0293977034918,93.74759522893422,106.69423435457914,58.06479978250195,41.547289674716595,11383.659644509855,53.30615942028986
3,89,2089,14.65225090501877,7.809841509027184,11.231420456485075,214.68845658362335,94.44016929588304,77.22493144020908,41.2254127003078,36.76757342775942,5963.690035944993,57.291666666666664
4,89,3089,15.830834908814431,8.503550108239388,12.073036655854152,250.61533391013762,91.99692189303579,77.849504412353,41.235731729985936,37.38944974531961,6060.54533724897,59.01268115942029
5,89,4089,17.543983881075658,9.174539145699683,12.538102583364108,307.79137041944244,91.7660638707195,77.33709695290135,40.50410447963964,37.17183176786802,5981.026565102463,61.684782608695656
6,89,5089,14.650718152946974,7.906019799108489,11.231629976658759,214.64354239708996,93.68988072335513,108.02960401808623,57.593073100444826,42.91594958620967,11670.395344304514,52.71739130434783
7,89,6089,17.075882415969996,8.727269937516576,11.17077557292581,291.58576028403337,93.24740284724894,178.043723895044,96.38593942755894,55.99016981894632,31699.567618414658,49.54710144927536
8,89,7089,15.143579473251664,8.142809103423673,11.409904362837924,229.32799926268916,93.99769141977684,100.98151591904013,54.65892999811028,40.502879571466174,10197.266557307357,53.03442028985508
9,89,8089,14.807095065150017,7.902387926731677,10.934649073995644,219.25006426839002,93.42054636398615,102.33256290892155,54.57561518131911,41.31643232315543,10471.953431508386,43.93115942028986
10,89,9089,16.104742965923244,8.41853366227106,11.249746802808449,259.36274599845416,93.70911889188149,135.72338641993392,73.91260196556803,47.61265292891131,18420.837621294704,50.76992753623188
11,89,10089,15.242059564387349,8.089813951456785,11.462456379707705,232.32037976433185,93.34359368988072,112.00717404889443,60.578408008958895,42.68081539767632,12545.607038419328,50.1358695652174
12,89,11089,16.154803132918296,8.625201197136493,11.872363481353117,260.9776642633468,93.63216621777607,70.42452112494159,37.897210407949345,33.88839105174411,4959.613175677344,59.375
13,89,12089,15.587865014128699,8.286460069287738,11.615384481454957,242.98153569869748,93.84378607156599,102.62135376860823,55.27291061338896,42.22218979181417,10531.142249301844,46.875
14,89,13089,18.18764722085424,9.662493237578868,13.562458534369268,330.79051143024697,91.05425163524433,97.9712742496807,51.14086133249236,40.64471304543759,9598.370578106149,48.414855072463766
15,89,14089,19.072400140866375,10.198224009698025,13.397043847978566,363.7564471333197,90.41939207387458,49.51233909820878,27.105271259716137,32.57200394567433,2451.4717229760136,64.53804347826086
16,89,15089,16.74270850855858,8.87436875862933,12.345595943224383,280.31828820255987,93.51673720661793,84.52356021456505,44.96330260608621,37.98789625094012,7144.232231345204,58.87681159420289
17,89,16089,19.796990934767894,9.961115990170379,12.429398657065349,391.92085007128213,92.15082724124663,176.62711314408324,96.97337990646429,56.23316798991181,31197.13709761278,44.42934782608695
18,89,17089,17.510639008750672,9.06005135725686,11.800490027412144,306.6224784947807,92.92035398230088,183.2579528229179,101.3630729381141,57.31893065110597,33583.4772728468,44.79166666666667
19,89,18089,14.377815621432884,7.742675410910708,11.172019651986503,206.72158204391948,93.26664101577529,114.28685419057538,62.345339254081175,43.3480450864939,13061.48504077784,50.31702898550725
20,89,19089,15.374837623924895,8.12411075578386,11.22115620421236,236.38563196205652,93.36283185840708,117.13613148635865,63.0851654409612,43.2926520603156,13720.8732995895,49.63768115942029
21,89,20089,15.545205973333376,8.278630982470863,11.391986501049008,241.65342875335966,93.22816467872258,112.81700607132207,61.84657494971765,42.69347949114107,12727.67685889672,51.222826086956516
22,89,21089,16.1637224555019,8.444196198408848,11.567064577292259,261.26592361849646,93.24740284724894,115.30121886319739,62.995233589954246,44.20016831520447,13294.371071338945,51.358695652173914
23,89,22089,15.22533290859788,8.168459490686592,11.479675921105539,231.81076217763356,93.82454790303963,109.44044216737241,60.18306683537386,43.38497899835767,11977.210381789986,48.414855072463766
24,89,23089,16.3118217416483,8.755038651203693,12.031805339810182,266.07552853131017,93.0934974990381,103.57442705496254,55.117896650897045,42.11713232660566,10727.661939763755,59.42028985507246
25,89,24089,16.309065684840668,8.475729997228287,10.99667824703197,265.9856235124474,92.36244709503654,152.98936574947075,83.84446545107215,49.95037095576333,23405.74603242533,50.31702898550725
26,89,25089,14.538076264249087,7.795565185393173,10.849641876106793,211.35566146512267,94.20931127356675,114.3571617659278,62.27376940966396,42.98067387111339,13077.56044715858,54.03079710144928
