,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,581.6868,0.0,381.983,0.0,100.0,0.0,17.9348,0.0,10.0
lstm,154.6434,5.1319,93.9968,3.5018,41.4706,2.2603,48.2924,1.465,10.0
tcn,305.8435,7.4038,195.6398,4.4403,85.8578,2.8284,39.9645,1.0501,10.0
seq2seq,289.5482,5.3416,179.3615,3.1576,44.7915,0.662,40.0145,0.8895,10.0
seq2seq_attn,251.3131,9.7153,156.0401,6.0986,42.0188,1.0386,38.696,0.4451,10.0
transformer,205.6893,6.582,125.4752,4.1765,36.7328,0.8644,42.3351,0.8725,10.0
