,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
varmax,247.03,0.0,172.2219,0.0,100.0,0.0,0.7353,0.0,10.0
lstm,81.0357,4.4117,46.9423,2.2765,29.5626,1.4327,69.1239,1.8153,10.0
tcn,130.4262,2.4016,82.9999,1.6137,47.7191,0.7246,42.5493,0.6428,10.0
seq2seq,101.0399,1.1402,59.8256,0.9332,31.4348,0.4194,52.1068,0.7983,10.0
seq2seq_attn,99.1847,1.2199,57.9997,1.0369,30.7901,0.5188,53.5618,0.9961,10.0
transformer,103.2304,1.6879,62.3685,1.4311,32.9045,0.7434,51.7954,1.0867,10.0
