,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,5.5,456.0,4956.0,13.665999277635407,8.426059932261783,11.347010917867598,186.81218806065826,94.46295332292209,98.36077987259844,57.55459883557165,30.310201341448124,9688.08870035583,54.23611111111112
std,3.0276503540974917,0.0,3027.6503540974913,0.2418718768429673,0.10593933560909773,0.15301879713975544,6.62680860350832,0.1828062889060986,3.836329728914998,3.261350147618538,1.3419759227293797,755.010026100253,2.6064986817364
min,1.0,456.0,456.0,13.357008449057348,8.27950622902301,11.13550195510965,178.40967470818939,94.25646364740587,92.82851737422968,52.698485148758145,28.21740346344696,8617.133637897661,49.55065359477124
max,10.0,456.0,9456.0,14.085564422803992,8.650276295314798,11.602664153184394,198.40312510896158,94.7943779281624,104.99815948308036,62.822708776054306,32.579872005505806,11024.613494834379,57.883986928104584
