,Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
mean,25.5,56.0,24556.0,15.370700444453032,9.429605693305195,17.271968505590607,236.9597441681681,91.6196597353497,90.53553057888526,49.55409093097773,48.59195672033553,8766.572195315186,55.43206521739131
std,14.577379737113251,0.0,14577.379737113251,0.845945923308748,0.5555196008188711,2.155337971863609,26.763869440707833,2.240232902744983,24.114732098841497,13.776881204616508,8.583036976931739,4959.544878798102,10.82441810312054
min,1.0,56.0,56.0,13.790053510349287,8.323462978927564,13.672242839295484,190.1655758182967,82.26843100189036,62.92560450852105,34.216745635244855,35.41441615007714,3959.6317027628043,33.3786231884058
max,50.0,56.0,49056.0,17.776160036225892,11.058357548092442,23.192901816892142,315.9918656335145,94.234404536862,156.56410564558595,89.45790786829902,69.91993875995392,24512.3191766022,77.94384057971014
