,test_mean_rmse,test_std_rmse,test_mean_mae,test_std_mae,test_mean_mape,test_std_mape,test_mean_pi_cov,test_std_pi_cov,seeds_completed
sarima,2607.1946,0.0,2497.6303,0.0,27.8788,0.0,8.3333,0.0,5.0
lstm,1732.7384,79.7996,1582.4836,81.914,17.554,0.9168,41.9583,4.0624,5.0
tcn,146275.0325,217374.8898,76333.8588,108309.6,879.9494,1252.2501,43.75,8.7619,5.0
seq2seq,2885.1991,28.1221,2752.0268,27.9829,30.6429,0.3164,12.625,0.25,5.0
seq2seq_attn,2826.2909,137.0932,2691.4754,138.6829,29.987,1.5625,16.5417,3.0465,5.0
transformer,2945.1538,38.1043,2825.7398,38.6957,31.532,0.4398,10.1667,0.8058,5.0
