,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
42,130.3167,3.809,1456.7722,236.3601,95.9406,2.3099,1216.5723,205.2967,4.0001,0.1238,25.2394,4.3063,93.8696,0.6301,22.5,6.3305,10.0
123,135.1595,12.6327,1569.2524,441.4975,98.081,6.9841,1312.1332,382.3027,4.0435,0.2383,27.3277,8.0726,93.4783,1.6901,22.9167,11.1003,10.0
456,136.1644,9.1551,1603.8967,405.2859,99.2917,5.5168,1341.5951,350.8783,4.1095,0.2573,27.9034,7.4247,92.8261,1.1639,21.7708,8.6799,10.0
789,137.8119,8.4352,1402.1155,475.4113,100.3103,5.1676,1157.7794,420.9053,4.1583,0.2934,24.0056,8.7251,93.3043,1.163,32.2917,23.8297,10.0
1000,131.0599,3.393,1336.0375,362.0652,96.6731,2.9152,1109.0802,318.3357,4.0402,0.1746,23.0038,6.6413,93.6957,0.4696,30.1042,19.0337,10.0
