Month,Age,Deaths
2018-06-01,85-89 years,17.0
2018-06-01,90-94 years,11.0
2018-06-01,95-99 years,0.0
2018-06-01,< 1 year,4.615384615384616
2018-06-01,Not Stated,0.0
2018-07-01,1-4 years,1.8421052631578947
2018-07-01,10-14 years,0.0
2018-07-01,100+ years,0.0
2018-07-01,15-19 years,58.0
2018-07-01,20-24 years,342.0
2018-07-01,25-29 years,668.0
2018-07-01,30-34 years,773.0
2018-07-01,35-39 years,812.0
2018-07-01,40-44 years,622.0
2018-07-01,45-49 years,668.0
2018-07-01,5-9 years,0.0
2018-07-01,50-54 years,692.0
2018-07-01,55-59 years,643.0
2018-07-01,60-64 years ,452.0
2018-07-01,65-69 years,190.0
2018-07-01,70-74 years,91.0
2018-07-01,75-79 years,38.0
2018-07-01,80-84 years,17.0
2018-07-01,85-89 years,15.0
2018-07-01,90-94 years,11.0
2018-07-01,95-99 years,0.0
2018-07-01,< 1 year,4.807692307692308
2018-07-01,Not Stated,0.0
2018-08-01,1-4 years,2.1052631578947367
2018-08-01,10-14 years,0.0
2018-08-01,100+ years,0.0
2018-08-01,15-19 years,64.0
2018-08-01,20-24 years,338.0
2018-08-01,25-29 years,637.0
2018-08-01,30-34 years,719.0
2018-08-01,35-39 years,778.0
2018-08-01,40-44 years,661.0
2018-08-01,45-49 years,683.0
2018-08-01,5-9 years,0.0
2018-08-01,50-54 years,680.0
2018-08-01,55-59 years,651.0
2018-08-01,60-64 years ,413.0
2018-08-01,65-69 years,200.0
2018-08-01,70-74 years,84.0
2018-08-01,75-79 years,37.0
2018-08-01,80-84 years,18.0
2018-08-01,85-89 years,12.0
2018-08-01,90-94 years,11.066666666666666
2018-08-01,95-99 years,0.0
2018-08-01,< 1 year,5.0
2018-08-01,Not Stated,0.0
2018-09-01,1-4 years,2.3684210526315788
2018-09-01,10-14 years,0.0
2018-09-01,100+ years,0.0
2018-09-01,15-19 years,68.0
2018-09-01,20-24 years,328.0
2018-09-01,25-29 years,628.0
2018-09-01,30-34 years,750.0
2018-09-01,35-39 years,717.0
2018-09-01,40-44 years,606.0
2018-09-01,45-49 years,571.0
2018-09-01,5-9 years,0.0
2018-09-01,50-54 years,628.0
2018-09-01,55-59 years,585.0
2018-09-01,60-64 years ,416.0
2018-09-01,65-69 years,223.0
2018-09-01,70-74 years,78.0
2018-09-01,75-79 years,33.0
2018-09-01,80-84 years,14.0
2018-09-01,85-89 years,15.0
2018-09-01,90-94 years,11.133333333333333
2018-09-01,95-99 years,0.0
2018-09-01,< 1 year,5.1923076923076925
2018-09-01,Not Stated,0.0
2018-10-01,1-4 years,2.631578947368421
2018-10-01,10-14 years,0.0
2018-10-01,100+ years,0.0
2018-10-01,15-19 years,66.0
2018-10-01,20-24 years,366.0
2018-10-01,25-29 years,605.0
2018-10-01,30-34 years,710.0
2018-10-01,35-39 years,728.0
2018-10-01,40-44 years,619.0
2018-10-01,45-49 years,611.0
2018-10-01,5-9 years,0.0
2018-10-01,50-54 years,596.0
2018-10-01,55-59 years,598.0
2018-10-01,60-64 years ,443.0
2018-10-01,65-69 years,182.0
2018-10-01,70-74 years,88.0
2018-10-01,75-79 years,39.0
2018-10-01,80-84 years,21.0
2018-10-01,85-89 years,18.0
2018-10-01,90-94 years,11.2
2018-10-01,95-99 years,0.0
2018-10-01,< 1 year,5.384615384615385
2018-10-01,Not Stated,0.0
2018-11-01,1-4 years,2.894736842105263
2018-11-01,10-14 years,0.43478260869565216
2018-11-01,100+ years,0.0
2018-11-01,15-19 years,49.0
2018-11-01,20-24 years,262.0
2018-11-01,25-29 years,609.0
2018-11-01,30-34 years,691.0
2018-11-01,35-39 years,684.0
2018-11-01,40-44 years,603.0
2018-11-01,45-49 years,587.0
2018-11-01,5-9 years,0.0
2018-11-01,50-54 years,580.0
2018-11-01,55-59 years,585.0
2018-11-01,60-64 years ,406.0
2018-11-01,65-69 years,199.0
2018-11-01,70-74 years,75.0
2018-11-01,75-79 years,34.0
2018-11-01,80-84 years,13.0
2018-11-01,85-89 years,19.0
2018-11-01,90-94 years,11.266666666666667
2018-11-01,95-99 years,0.0
2018-11-01,< 1 year,5.5769230769230775
2018-11-01,Not Stated,0.0
2018-12-01,1-4 years,3.1578947368421053
2018-12-01,10-14 years,0.8695652173913043
2018-12-01,100+ years,0.0
2018-12-01,15-19 years,64.0
2018-12-01,20-24 years,314.0
2018-12-01,25-29 years,616.0
2018-12-01,30-34 years,715.0
2018-12-01,35-39 years,723.0
2018-12-01,40-44 years,649.0
2018-12-01,45-49 years,630.0
2018-12-01,5-9 years,0.0
2018-12-01,50-54 years,619.0
2018-12-01,55-59 years,646.0
2018-12-01,60-64 years ,444.0
2018-12-01,65-69 years,215.0
2018-12-01,70-74 years,81.0
2018-12-01,75-79 years,29.0
2018-12-01,80-84 years,19.0
2018-12-01,85-89 years,16.0
2018-12-01,90-94 years,11.333333333333334
2018-12-01,95-99 years,0.0
2018-12-01,< 1 year,5.769230769230769
2018-12-01,Not Stated,0.0
2019-01-01,1-4 years,3.4210526315789473
2019-01-01,10-14 years,1.3043478260869565
2019-01-01,100+ years,0.0
2019-01-01,15-19 years,60.0
2019-01-01,20-24 years,290.0
2019-01-01,25-29 years,567.0
2019-01-01,30-34 years,684.0
2019-01-01,35-39 years,740.0
2019-01-01,40-44 years,599.0
2019-01-01,45-49 years,595.0
2019-01-01,5-9 years,0.0
2019-01-01,50-54 years,739.0
2019-01-01,55-59 years,633.0
2019-01-01,60-64 years ,459.0
2019-01-01,65-69 years,220.0
2019-01-01,70-74 years,79.0
2019-01-01,75-79 years,32.0
2019-01-01,80-84 years,17.0
2019-01-01,85-89 years,13.0
2019-01-01,90-94 years,11.4
2019-01-01,95-99 years,0.0
2019-01-01,< 1 year,5.961538461538462
2019-01-01,Not Stated,0.0
2019-02-01,1-4 years,3.6842105263157894
2019-02-01,10-14 years,1.7391304347826086
2019-02-01,100+ years,0.0
2019-02-01,15-19 years,69.0
2019-02-01,20-24 years,271.0
2019-02-01,25-29 years,517.0
2019-02-01,30-34 years,678.0
2019-02-01,35-39 years,656.0
2019-02-01,40-44 years,553.0
2019-02-01,45-49 years,599.0
2019-02-01,5-9 years,0.0
2019-02-01,50-54 years,644.0
2019-02-01,55-59 years,632.0
2019-02-01,60-64 years ,411.0
2019-02-01,65-69 years,210.0
2019-02-01,70-74 years,76.0
2019-02-01,75-79 years,39.0
2019-02-01,80-84 years,11.0
2019-02-01,85-89 years,15.0
2019-02-01,90-94 years,11.466666666666667
2019-02-01,95-99 years,0.0
2019-02-01,< 1 year,6.153846153846154
2019-02-01,Not Stated,0.0
2019-03-01,1-4 years,3.9473684210526314
2019-03-01,10-14 years,2.1739130434782608
2019-03-01,100+ years,0.0
2019-03-01,15-19 years,60.0
2019-03-01,20-24 years,338.0
2019-03-01,25-29 years,673.0
2019-03-01,30-34 years,752.0
2019-03-01,35-39 years,807.0
2019-03-01,40-44 years,672.0
2019-03-01,45-49 years,636.0
2019-03-01,5-9 years,0.0
2019-03-01,50-54 years,660.0
2019-03-01,55-59 years,669.0
2019-03-01,60-64 years ,453.0
2019-03-01,65-69 years,219.0
2019-03-01,70-74 years,95.0
2019-03-01,75-79 years,37.0
2019-03-01,80-84 years,15.0
2019-03-01,85-89 years,12.0
2019-03-01,90-94 years,11.533333333333333
2019-03-01,95-99 years,0.0
2019-03-01,< 1 year,6.346153846153847
2019-03-01,Not Stated,0.0
2019-04-01,1-4 years,4.2105263157894735
2019-04-01,10-14 years,2.608695652173913
2019-04-01,100+ years,0.0
2019-04-01,15-19 years,63.0
2019-04-01,20-24 years,307.0
2019-04-01,25-29 years,610.0
2019-04-01,30-34 years,672.0
2019-04-01,35-39 years,711.0
2019-04-01,40-44 years,641.0
2019-04-01,45-49 years,595.0
2019-04-01,5-9 years,0.0
2019-04-01,50-54 years,621.0
2019-04-01,55-59 years,650.0
2019-04-01,60-64 years ,427.0
2019-04-01,65-69 years,231.0
2019-04-01,70-74 years,85.0
2019-04-01,75-79 years,58.0
2019-04-01,80-84 years,29.0
2019-04-01,85-89 years,17.0
2019-04-01,90-94 years,11.6
2019-04-01,95-99 years,0.0
2019-04-01,< 1 year,6.538461538461539
2019-04-01,Not Stated,0.0
2019-05-01,1-4 years,4.473684210526316
2019-05-01,10-14 years,3.043478260869565
2019-05-01,100+ years,0.0
2019-05-01,15-19 years,79.0
2019-05-01,20-24 years,320.0
2019-05-01,25-29 years,605.0
2019-05-01,30-34 years,735.0
2019-05-01,35-39 years,804.0
2019-05-01,40-44 years,654.0
2019-05-01,45-49 years,661.0
2019-05-01,5-9 years,0.0
2019-05-01,50-54 years,631.0
2019-05-01,55-59 years,676.0
2019-05-01,60-64 years ,483.0
2019-05-01,65-69 years,202.0
2019-05-01,70-74 years,79.0
2019-05-01,75-79 years,43.0
2019-05-01,80-84 years,16.0
2019-05-01,85-89 years,14.5
2019-05-01,90-94 years,11.666666666666666
2019-05-01,95-99 years,0.0
2019-05-01,< 1 year,6.730769230769231
2019-05-01,Not Stated,0.0
2019-06-01,1-4 years,4.7368421052631575
2019-06-01,10-14 years,3.4782608695652173
2019-06-01,100+ years,0.0
2019-06-01,15-19 years,75.0
2019-06-01,20-24 years,318.0
2019-06-01,25-29 years,646.0
2019-06-01,30-34 years,749.0
2019-06-01,35-39 years,764.0
2019-06-01,40-44 years,666.0
2019-06-01,45-49 years,668.0
2019-06-01,5-9 years,0.0
2019-06-01,50-54 years,613.0
2019-06-01,55-59 years,662.0
2019-06-01,60-64 years ,460.0
2019-06-01,65-69 years,206.0
2019-06-01,70-74 years,85.0
2019-06-01,75-79 years,30.0
2019-06-01,80-84 years,17.0
2019-06-01,85-89 years,12.0
2019-06-01,90-94 years,11.733333333333333
2019-06-01,95-99 years,0.0
2019-06-01,< 1 year,6.923076923076923
2019-06-01,Not Stated,0.0
2019-07-01,1-4 years,5.0
2019-07-01,10-14 years,3.9130434782608696
2019-07-01,100+ years,0.0
2019-07-01,15-19 years,69.0
2019-07-01,20-24 years,356.0
2019-07-01,25-29 years,698.0
2019-07-01,30-34 years,784.0
2019-07-01,35-39 years,810.0
2019-07-01,40-44 years,651.0
2019-07-01,45-49 years,677.0
2019-07-01,5-9 years,0.0
2019-07-01,50-54 years,746.0
2019-07-01,55-59 years,710.0
2019-07-01,60-64 years ,441.0
2019-07-01,65-69 years,217.0
2019-07-01,70-74 years,91.0
2019-07-01,75-79 years,37.0
2019-07-01,80-84 years,14.0
2019-07-01,85-89 years,10.0
2019-07-01,90-94 years,11.8
2019-07-01,95-99 years,0.0
2019-07-01,< 1 year,7.115384615384616
2019-07-01,Not Stated,0.0
2019-08-01,1-4 years,5.263157894736842
2019-08-01,10-14 years,4.3478260869565215
2019-08-01,100+ years,0.0
2019-08-01,15-19 years,78.0
2019-08-01,20-24 years,358.0
2019-08-01,25-29 years,674.0
2019-08-01,30-34 years,833.0
2019-08-01,35-39 years,843.0
2019-08-01,40-44 years,697.0
2019-08-01,45-49 years,650.0
2019-08-01,5-9 years,0.0
2019-08-01,50-54 years,694.0
2019-08-01,55-59 years,689.0
2019-08-01,60-64 years ,456.0
2019-08-01,65-69 years,224.0
2019-08-01,70-74 years,97.0
2019-08-01,75-79 years,38.0
2019-08-01,80-84 years,22.0
2019-08-01,85-89 years,15.0
2019-08-01,90-94 years,11.866666666666667
2019-08-01,95-99 years,0.0
2019-08-01,< 1 year,7.307692307692308
2019-08-01,Not Stated,0.0
2019-09-01,1-4 years,5.526315789473684
2019-09-01,10-14 years,4.782608695652174
2019-09-01,100+ years,0.0
2019-09-01,15-19 years,67.0
2019-09-01,20-24 years,341.0
2019-09-01,25-29 years,638.0
2019-09-01,30-34 years,793.0
2019-09-01,35-39 years,811.0
2019-09-01,40-44 years,662.0
2019-09-01,45-49 years,624.0
2019-09-01,5-9 years,0.0
2019-09-01,50-54 years,615.0
2019-09-01,55-59 years,667.0
2019-09-01,60-64 years ,423.0
2019-09-01,65-69 years,202.0
2019-09-01,70-74 years,95.0
2019-09-01,75-79 years,39.0
2019-09-01,80-84 years,24.0
2019-09-01,85-89 years,11.0
2019-09-01,90-94 years,11.933333333333334
2019-09-01,95-99 years,0.0
2019-09-01,< 1 year,7.5
2019-09-01,Not Stated,0.0
2019-10-01,1-4 years,5.789473684210526
2019-10-01,10-14 years,5.217391304347826
2019-10-01,100+ years,0.0
2019-10-01,15-19 years,80.0
2019-10-01,20-24 years,389.0
2019-10-01,25-29 years,674.0
2019-10-01,30-34 years,799.0
2019-10-01,35-39 years,811.0
2019-10-01,40-44 years,692.0
2019-10-01,45-49 years,652.0
2019-10-01,5-9 years,0.0
2019-10-01,50-54 years,711.0
2019-10-01,55-59 years,628.0
2019-10-01,60-64 years ,471.0
2019-10-01,65-69 years,236.0
2019-10-01,70-74 years,77.0
2019-10-01,75-79 years,39.0
2019-10-01,80-84 years,23.0
2019-10-01,85-89 years,13.0
2019-10-01,90-94 years,12.0
2019-10-01,95-99 years,0.0
2019-10-01,< 1 year,7.6923076923076925
2019-10-01,Not Stated,0.0
2019-11-01,1-4 years,6.052631578947368
2019-11-01,10-14 years,5.6521739130434785
2019-11-01,100+ years,0.0
2019-11-01,15-19 years,76.0
2019-11-01,20-24 years,378.0
2019-11-01,25-29 years,655.0
2019-11-01,30-34 years,774.0
2019-11-01,35-39 years,846.0
2019-11-01,40-44 years,693.0
2019-11-01,45-49 years,664.0
2019-11-01,5-9 years,0.0
2019-11-01,50-54 years,675.0
2019-11-01,55-59 years,745.0
2019-11-01,60-64 years ,453.0
2019-11-01,65-69 years,267.0
2019-11-01,70-74 years,95.0
2019-11-01,75-79 years,37.0
2019-11-01,80-84 years,22.0
2019-11-01,85-89 years,14.5
2019-11-01,90-94 years,11.5
2019-11-01,95-99 years,0.0
2019-11-01,< 1 year,7.884615384615385
2019-11-01,Not Stated,0.0
2019-12-01,1-4 years,6.315789473684211
2019-12-01,10-14 years,6.08695652173913
2019-12-01,100+ years,0.0
2019-12-01,15-19 years,89.0
2019-12-01,20-24 years,355.0
2019-12-01,25-29 years,653.0
2019-12-01,30-34 years,839.0
2019-12-01,35-39 years,855.0
2019-12-01,40-44 years,709.0
2019-12-01,45-49 years,646.0
2019-12-01,5-9 years,0.0
2019-12-01,50-54 years,718.0
2019-12-01,55-59 years,730.0
2019-12-01,60-64 years ,494.0
2019-12-01,65-69 years,231.0
2019-12-01,70-74 years,97.0
2019-12-01,75-79 years,42.0
2019-12-01,80-84 years,22.0
2019-12-01,85-89 years,16.0
2019-12-01,90-94 years,11.0
2019-12-01,95-99 years,0.0
2019-12-01,< 1 year,8.076923076923077
2019-12-01,Not Stated,0.0
2020-01-01,1-4 years,6.578947368421052
2020-01-01,10-14 years,6.521739130434782
2020-01-01,100+ years,0.0
2020-01-01,15-19 years,109.0
2020-01-01,20-24 years,358.0
2020-01-01,25-29 years,632.0
2020-01-01,30-34 years,846.0
2020-01-01,35-39 years,908.0
2020-01-01,40-44 years,750.0
2020-01-01,45-49 years,680.0
2020-01-01,5-9 years,0.0
2020-01-01,50-54 years,700.0
2020-01-01,55-59 years,717.0
2020-01-01,60-64 years ,565.0
2020-01-01,65-69 years,253.0
2020-01-01,70-74 years,115.0
2020-01-01,75-79 years,31.0
2020-01-01,80-84 years,26.0
2020-01-01,85-89 years,14.0
2020-01-01,90-94 years,10.5
2020-01-01,95-99 years,0.0
2020-01-01,< 1 year,8.26923076923077
2020-01-01,Not Stated,0.0
2020-02-01,1-4 years,6.842105263157895
2020-02-01,10-14 years,6.956521739130435
2020-02-01,100+ years,0.0
2020-02-01,15-19 years,100.0
2020-02-01,20-24 years,344.0
2020-02-01,25-29 years,668.0
2020-02-01,30-34 years,821.0
2020-02-01,35-39 years,860.0
2020-02-01,40-44 years,712.0
2020-02-01,45-49 years,721.0
2020-02-01,5-9 years,0.0
2020-02-01,50-54 years,724.0
2020-02-01,55-59 years,691.0
2020-02-01,60-64 years ,506.0
2020-02-01,65-69 years,244.0
2020-02-01,70-74 years,95.0
2020-02-01,75-79 years,31.0
2020-02-01,80-84 years,24.0
2020-02-01,85-89 years,14.0
2020-02-01,90-94 years,10.0
2020-02-01,95-99 years,0.0
2020-02-01,< 1 year,8.461538461538462
2020-02-01,Not Stated,0.0
2020-03-01,1-4 years,7.105263157894736
2020-03-01,10-14 years,7.391304347826087
2020-03-01,100+ years,0.0
2020-03-01,15-19 years,127.0
2020-03-01,20-24 years,442.0
2020-03-01,25-29 years,817.0
2020-03-01,30-34 years,948.0
2020-03-01,35-39 years,978.0
2020-03-01,40-44 years,804.0
2020-03-01,45-49 years,750.0
2020-03-01,5-9 years,0.0
2020-03-01,50-54 years,769.0
2020-03-01,55-59 years,825.0
2020-03-01,60-64 years ,503.0
2020-03-01,65-69 years,272.0
2020-03-01,70-74 years,103.0
2020-03-01,75-79 years,30.0
2020-03-01,80-84 years,25.0
2020-03-01,85-89 years,11.0
2020-03-01,90-94 years,10.0
2020-03-01,95-99 years,0.0
2020-03-01,< 1 year,8.653846153846155
2020-03-01,Not Stated,0.0
2020-04-01,1-4 years,7.368421052631579
2020-04-01,10-14 years,7.826086956521739
2020-04-01,100+ years,0.0
2020-04-01,15-19 years,139.0
2020-04-01,20-24 years,519.0
2020-04-01,25-29 years,981.0
2020-04-01,30-34 years,1096.0
2020-04-01,35-39 years,1042.0
2020-04-01,40-44 years,964.0
2020-04-01,45-49 years,783.0
2020-04-01,5-9 years,0.0
2020-04-01,50-54 years,806.0
2020-04-01,55-59 years,820.0
2020-04-01,60-64 years ,548.0
2020-04-01,65-69 years,271.0
2020-04-01,70-74 years,88.0
2020-04-01,75-79 years,34.0
2020-04-01,80-84 years,11.0
2020-04-01,85-89 years,10.0
2020-04-01,90-94 years,10.0
2020-04-01,95-99 years,0.0
2020-04-01,< 1 year,8.846153846153847
2020-04-01,Not Stated,0.0
2020-05-01,1-4 years,7.63157894736842
2020-05-01,10-14 years,8.26086956521739
2020-05-01,100+ years,0.0
2020-05-01,15-19 years,144.0
2020-05-01,20-24 years,572.0
2020-05-01,25-29 years,1035.0
2020-05-01,30-34 years,1315.0
2020-05-01,35-39 years,1313.0
2020-05-01,40-44 years,1070.0
2020-05-01,45-49 years,1017.0
2020-05-01,5-9 years,0.0
2020-05-01,50-54 years,1015.0
2020-05-01,55-59 years,988.0
2020-05-01,60-64 years ,635.0
2020-05-01,65-69 years,290.0
2020-05-01,70-74 years,113.0
2020-05-01,75-79 years,39.0
2020-05-01,80-84 years,22.0
2020-05-01,85-89 years,12.0
2020-05-01,90-94 years,10.0
2020-05-01,95-99 years,0.0
2020-05-01,< 1 year,9.038461538461538
2020-05-01,Not Stated,0.0
2020-06-01,1-4 years,7.894736842105263
2020-06-01,10-14 years,8.695652173913043
2020-06-01,100+ years,0.0
2020-06-01,15-19 years,153.0
2020-06-01,20-24 years,480.0
2020-06-01,25-29 years,900.0
2020-06-01,30-34 years,1124.0
2020-06-01,35-39 years,1133.0
2020-06-01,40-44 years,930.0
2020-06-01,45-49 years,960.0
2020-06-01,5-9 years,0.0
2020-06-01,50-54 years,853.0
2020-06-01,55-59 years,809.0
2020-06-01,60-64 years ,570.0
2020-06-01,65-69 years,266.0
2020-06-01,70-74 years,97.0
2020-06-01,75-79 years,35.0
2020-06-01,80-84 years,14.0
2020-06-01,85-89 years,20.0
2020-06-01,90-94 years,10.0
2020-06-01,95-99 years,0.0
2020-06-01,< 1 year,9.230769230769232
2020-06-01,Not Stated,0.0
2020-07-01,1-4 years,8.157894736842104
2020-07-01,10-14 years,9.130434782608695
2020-07-01,100+ years,0.0
2020-07-01,15-19 years,139.0
2020-07-01,20-24 years,560.0
2020-07-01,25-29 years,892.0
2020-07-01,30-34 years,1115.0
2020-07-01,35-39 years,1136.0
2020-07-01,40-44 years,1012.0
2020-07-01,45-49 years,891.0
2020-07-01,5-9 years,0.0
2020-07-01,50-54 years,897.0
2020-07-01,55-59 years,895.0
2020-07-01,60-64 years ,624.0
2020-07-01,65-69 years,310.0
2020-07-01,70-74 years,114.0
2020-07-01,75-79 years,45.0
2020-07-01,80-84 years,15.0
2020-07-01,85-89 years,15.0
2020-07-01,90-94 years,10.0
2020-07-01,95-99 years,0.0
2020-07-01,< 1 year,9.423076923076923
2020-07-01,Not Stated,0.0
2020-08-01,1-4 years,8.421052631578947
2020-08-01,10-14 years,9.565217391304348
2020-08-01,100+ years,0.0
2020-08-01,15-19 years,147.0
2020-08-01,20-24 years,523.0
2020-08-01,25-29 years,878.0
2020-08-01,30-34 years,1129.0
2020-08-01,35-39 years,1141.0
2020-08-01,40-44 years,945.0
2020-08-01,45-49 years,850.0
2020-08-01,5-9 years,0.0
2020-08-01,50-54 years,901.0
2020-08-01,55-59 years,823.0
2020-08-01,60-64 years ,591.0
2020-08-01,65-69 years,291.0
2020-08-01,70-74 years,104.0
2020-08-01,75-79 years,45.0
2020-08-01,80-84 years,25.0
2020-08-01,85-89 years,12.0
2020-08-01,90-94 years,10.0
2020-08-01,95-99 years,0.0
2020-08-01,< 1 year,9.615384615384617
2020-08-01,Not Stated,0.0
2020-09-01,1-4 years,8.68421052631579
2020-09-01,10-14 years,10.0
2020-09-01,100+ years,0.0
2020-09-01,15-19 years,109.0
2020-09-01,20-24 years,462.0
2020-09-01,25-29 years,768.0
2020-09-01,30-34 years,1015.0
2020-09-01,35-39 years,1028.0
2020-09-01,40-44 years,883.0
2020-09-01,45-49 years,760.0
2020-09-01,5-9 years,0.0
2020-09-01,50-54 years,829.0
2020-09-01,55-59 years,813.0
2020-09-01,60-64 years ,541.0
2020-09-01,65-69 years,253.0
2020-09-01,70-74 years,102.0
2020-09-01,75-79 years,33.0
2020-09-01,80-84 years,21.0
2020-09-01,85-89 years,11.5
2020-09-01,90-94 years,10.0
2020-09-01,95-99 years,0.0
2020-09-01,< 1 year,9.807692307692308
2020-09-01,Not Stated,0.0
2020-10-01,1-4 years,8.947368421052632
2020-10-01,10-14 years,11.0
2020-10-01,100+ years,0.0
2020-10-01,15-19 years,128.0
2020-10-01,20-24 years,474.0
2020-10-01,25-29 years,768.0
2020-10-01,30-34 years,913.0
2020-10-01,35-39 years,981.0
2020-10-01,40-44 years,872.0
2020-10-01,45-49 years,794.0
2020-10-01,5-9 years,0.0
2020-10-01,50-54 years,807.0
2020-10-01,55-59 years,760.0
2020-10-01,60-64 years ,551.0
2020-10-01,65-69 years,264.0
2020-10-01,70-74 years,100.0
2020-10-01,75-79 years,47.0
2020-10-01,80-84 years,23.0
2020-10-01,85-89 years,11.0
2020-10-01,90-94 years,10.0
2020-10-01,95-99 years,0.0
2020-10-01,< 1 year,10.0
2020-10-01,Not Stated,0.0
2020-11-01,1-4 years,9.210526315789473
2020-11-01,10-14 years,12.0
2020-11-01,100+ years,0.0
2020-11-01,15-19 years,134.0
2020-11-01,20-24 years,420.0
2020-11-01,25-29 years,743.0
2020-11-01,30-34 years,966.0
2020-11-01,35-39 years,1025.0
2020-11-01,40-44 years,875.0
2020-11-01,45-49 years,719.0
2020-11-01,5-9 years,0.0
2020-11-01,50-54 years,774.0
2020-11-01,55-59 years,801.0
2020-11-01,60-64 years ,568.0
2020-11-01,65-69 years,282.0
2020-11-01,70-74 years,93.0
2020-11-01,75-79 years,39.0
2020-11-01,80-84 years,18.0
2020-11-01,85-89 years,10.5
2020-11-01,90-94 years,10.5
2020-11-01,95-99 years,0.0
2020-11-01,< 1 year,10.0
2020-11-01,Not Stated,0.0
2020-12-01,1-4 years,9.473684210526315
2020-12-01,10-14 years,11.5
2020-12-01,100+ years,0.0
2020-12-01,15-19 years,136.0
2020-12-01,20-24 years,471.0
2020-12-01,25-29 years,781.0
2020-12-01,30-34 years,1017.0
2020-12-01,35-39 years,1045.0
2020-12-01,40-44 years,918.0
2020-12-01,45-49 years,785.0
2020-12-01,5-9 years,0.0
2020-12-01,50-54 years,852.0
2020-12-01,55-59 years,777.0
2020-12-01,60-64 years ,593.0
2020-12-01,65-69 years,281.0
2020-12-01,70-74 years,105.0
2020-12-01,75-79 years,34.0
2020-12-01,80-84 years,24.0
2020-12-01,85-89 years,10.0
2020-12-01,90-94 years,11.0
2020-12-01,95-99 years,0.0
2020-12-01,< 1 year,10.0
2020-12-01,Not Stated,0.0
2021-01-01,1-4 years,9.736842105263158
2021-01-01,10-14 years,11.0
2021-01-01,100+ years,0.0
2021-01-01,15-19 years,144.0
2021-01-01,20-24 years,540.0
2021-01-01,25-29 years,896.0
2021-01-01,30-34 years,1194.0
2021-01-01,35-39 years,1177.0
2021-01-01,40-44 years,983.0
2021-01-01,45-49 years,881.0
2021-01-01,5-9 years,0.0
2021-01-01,50-54 years,969.0
2021-01-01,55-59 years,936.0
2021-01-01,60-64 years ,768.0
2021-01-01,65-69 years,346.0
2021-01-01,70-74 years,116.0
2021-01-01,75-79 years,45.0
2021-01-01,80-84 years,27.0
2021-01-01,85-89 years,14.0
2021-01-01,90-94 years,10.928571428571429
2021-01-01,95-99 years,0.0
2021-01-01,< 1 year,10.0
2021-01-01,Not Stated,0.0
2021-02-01,1-4 years,10.0
2021-02-01,10-14 years,11.0
2021-02-01,100+ years,0.0
2021-02-01,15-19 years,118.0
2021-02-01,20-24 years,467.0
2021-02-01,25-29 years,819.0
2021-02-01,30-34 years,987.0
2021-02-01,35-39 years,1070.0
2021-02-01,40-44 years,884.0
2021-02-01,45-49 years,787.0
2021-02-01,5-9 years,0.0
2021-02-01,50-54 years,869.0
2021-02-01,55-59 years,830.0
2021-02-01,60-64 years ,631.0
2021-02-01,65-69 years,284.0
2021-02-01,70-74 years,106.0
2021-02-01,75-79 years,38.0
2021-02-01,80-84 years,22.0
2021-02-01,85-89 years,12.0
2021-02-01,90-94 years,10.857142857142858
2021-02-01,95-99 years,0.0
2021-02-01,< 1 year,10.0
2021-02-01,Not Stated,0.0
2021-03-01,1-4 years,10.5
2021-03-01,10-14 years,11.0
2021-03-01,100+ years,0.0
2021-03-01,15-19 years,175.0
2021-03-01,20-24 years,573.0
2021-03-01,25-29 years,966.0
2021-03-01,30-34 years,1215.0
2021-03-01,35-39 years,1216.0
2021-03-01,40-44 years,1124.0
2021-03-01,45-49 years,988.0
2021-03-01,5-9 years,0.0
2021-03-01,50-54 years,979.0
2021-03-01,55-59 years,955.0
2021-03-01,60-64 years ,711.0
2021-03-01,65-69 years,364.0
2021-03-01,70-74 years,121.0
2021-03-01,75-79 years,68.0
2021-03-01,80-84 years,28.0
2021-03-01,85-89 years,10.0
2021-03-01,90-94 years,10.785714285714286
2021-03-01,95-99 years,0.0
2021-03-01,< 1 year,10.0
2021-03-01,Not Stated,0.0
2021-04-01,1-4 years,11.0
2021-04-01,10-14 years,11.0
2021-04-01,100+ years,0.0
2021-04-01,15-19 years,171.0
2021-04-01,20-24 years,550.0
2021-04-01,25-29 years,910.0
2021-04-01,30-34 years,1192.0
2021-04-01,35-39 years,1281.0
2021-04-01,40-44 years,1179.0
2021-04-01,45-49 years,990.0
2021-04-01,5-9 years,0.0
2021-04-01,50-54 years,1023.0
2021-04-01,55-59 years,1020.0
2021-04-01,60-64 years ,723.0
2021-04-01,65-69 years,363.0
2021-04-01,70-74 years,133.0
2021-04-01,75-79 years,41.0
2021-04-01,80-84 years,19.0
2021-04-01,85-89 years,15.0
2021-04-01,90-94 years,10.714285714285714
2021-04-01,95-99 years,0.0
2021-04-01,< 1 year,10.0
2021-04-01,Not Stated,0.0
2021-05-01,1-4 years,11.0
2021-05-01,10-14 years,11.0
2021-05-01,100+ years,0.0
2021-05-01,15-19 years,191.0
2021-05-01,20-24 years,525.0
2021-05-01,25-29 years,881.0
2021-05-01,30-34 years,1250.0
2021-05-01,35-39 years,1230.0
2021-05-01,40-44 years,1162.0
2021-05-01,45-49 years,962.0
2021-05-01,5-9 years,0.0
